feature,consensus_votes,mi_score,shap_score,stability_score,selected,is_fe_feature
FE_high_prior_utilization,6,0.009294,0.30385,1.0,True,True
race,3,0.010317,0.0,0.0,True,False
age,3,0.003771,0.0,0.0,True,False
admission_type_id,3,0.002421,0.0,0.0,True,False
discharge_disposition_id,3,0.00785,0.0,0.0,True,False
gender,3,0.008221,0.0,0.0,True,False
time_in_hospital,3,0.002419,0.0,0.0,True,False
payer_code,3,0.004747,0.0,0.0,True,False
medical_specialty,3,0.005321,0.0,0.0,True,False
num_medications,3,0.001862,0.0,0.0,True,False
number_outpatient,3,0.001248,0.0,0.0,True,False
number_diagnoses,3,0.004044,0.0,0.0,True,False
diag_1,3,0.001362,0.0,0.0,True,False
admission_source_id,3,0.002487,0.0,0.0,True,False
FE_diagnoses_per_day,3,0.004234,0.0,0.0,True,True
FE_has_prior_inpatient,3,0.011854,0.0,0.0,True,True
FE_multi_channel_utilizer,3,0.008043,0.0,0.0,True,True
diag_2,3,0.003253,0.0,0.0,True,False
FE_high_utilization,3,0.002214,0.0,0.0,True,True
A1Cresult_missing,3,0.010201,0.0,0.0,True,False
FE_total_clinical_contacts,3,0.000926,0.0,0.0,True,True
FE_labs_per_day,3,0.001998,0.0,0.0,True,True
max_glu_serum_missing,3,0.006864,0.0,0.0,True,False
FE_diag_med_ratio,3,0.001844,0.0,0.0,True,True
FE_comorbidity_x_lab_load,3,0.001116,0.0,0.0,True,True
FE_labs_per_day_x_comorbidity,3,0.00092,0.0,0.0,True,True
FE_high_util_x_med_change,3,0.001111,0.0,0.0,True,True
FE_glycemic_risk_score,3,0.006068,0.0,0.0,True,True
FE_med_regimen_changed,3,0.009947,0.0,0.0,True,True
weight_missing,3,0.010241,0.0,0.0,True,False
FE_lab_to_procedure_ratio,3,0.000727,0.0,0.0,True,True
FE_any_med_changed,3,0.003717,0.0,0.0,True,True
FE_high_lab_load,3,0.003925,0.0,0.0,True,True
FE_insulin_prescribed,3,0.010541,0.0,0.0,True,True
FE_insulin_changed,3,0.00094,0.0,0.0,True,True
FE_insulin_increased,3,0.002489,0.0,0.0,True,True
FE_metformin_prescribed,3,0.002993,0.0,0.0,True,True
FE_on_diabetes_med,3,0.012227,0.0,0.0,True,True
FE_total_active_meds,3,0.003335,0.0,0.0,True,True
FE_glycemic_x_emergency,3,0.003073,0.0,0.0,True,True
FE_n_active_binary_meds,3,0.00093,0.0,0.0,True,True
FE_no_procedures,3,0.006632,0.0,0.0,True,True
glimepiride,2,0.0,0.0,0.0,True,False
glipizide,2,0.0,0.0,0.0,True,False
glyburide,2,0.000385,0.0,0.0,True,False
pioglitazone,2,4e-05,0.0,0.0,True,False
FE_metformin_changed,2,6.4e-05,0.0,0.0,True,True
FE_meds_per_day,2,0.000158,0.0,0.0,True,True
FE_n_med_decreases,2,0.0,0.0,0.0,True,True
repaglinide,2,0.0,0.0,0.0,True,False
diag_3,2,0.0,0.0,0.0,True,False
rosiglitazone,2,0.0,0.0,0.0,True,False
FE_n_med_increases,2,0.0,0.0,0.0,True,True
num_lab_procedures,1,0.0,0.0,0.0,False,False
number_emergency,1,0.0,0.0,0.0,False,False
num_procedures,1,0.0,0.0,0.0,False,False
number_inpatient,1,0.0,0.0,0.0,False,False
FE_procedure_density,1,0.0,0.0,0.0,False,True
FE_n_active_ordinal_meds,1,0.0,0.0,0.0,False,True
diabetesMed,1,0.0,0.0,0.0,False,False
change,1,0.0,0.0,0.0,False,False
metformin,1,0.0,0.0,0.0,False,False
insulin,1,0.0,0.0,0.0,False,False
FE_n_med_changes,1,0.0,0.0,0.0,False,True
FE_high_comorbidity,1,0.0,0.0,0.0,False,True
FE_total_prior_contacts,1,0.0,0.0,0.0,False,True
FE_has_prior_emergency,1,0.0,0.0,0.0,False,True
chlorpropamide,0,0.0,0.0,0.0,False,False
tolbutamide,0,0.0,0.0,0.0,False,False
acarbose,0,0.0,0.0,0.0,False,False
glyburide-metformin,0,0.0,0.0,0.0,False,False
tolazamide,0,0.0,0.0,0.0,False,False
miglitol,0,0.0,0.0,0.0,False,False
glipizide-metformin,0,0.0,0.0,0.0,False,False
nateglinide,0,0.0,0.0,0.0,False,False
FE_med_coverage_ratio,0,0.0,0.0,0.0,False,True
FE_polypharmacy,0,0.0,0.0,0.0,False,True
FE_inpatient_x_polypharmacy,0,0.0,0.0,0.0,False,True
