feature,is_fe,flip_rate,proba_delta,proba_std,error_delta,feature_std
discharge_disposition_id,False,0.3233,0.0301,0.0695,0.0279,4.0676
FE_has_prior_inpatient,True,0.0907,0.0202,0.0273,0.018,0.4256
FE_high_prior_utilization,True,0.058,0.0134,0.0215,0.0121,0.4024
FE_labs_per_day,True,0.04,-0.0052,0.0207,-0.0036,12.1435
FE_labs_per_day_x_comorbidity,True,0.039,0.0055,0.0208,0.0057,11.1094
age,False,0.0353,0.0029,0.0161,0.0024,1.5489
FE_lab_to_procedure_ratio,True,0.035,0.0027,0.0202,0.0025,21.1431
FE_total_clinical_contacts,True,0.0317,-0.0011,0.0162,-0.0007,23.0859
diag_3,False,0.0303,0.0014,0.0138,0.0013,5.3068
FE_meds_per_day,True,0.0293,-0.0013,0.0168,-0.0008,4.176
admission_source_id,False,0.025,-0.0046,0.0124,-0.0033,3.195
diag_1,False,0.0243,-0.0032,0.015,-0.0021,5.0297
diag_2,False,0.0243,0.0004,0.0128,0.0004,5.3764
FE_diag_med_ratio,True,0.024,0.0002,0.0117,0.0004,0.3235
FE_glycemic_x_emergency,True,0.0227,0.0027,0.0186,0.0034,0.7779
num_medications,False,0.0223,0.0039,0.0114,0.003,8.1468
time_in_hospital,False,0.0197,0.003,0.0124,0.0024,2.8274
medical_specialty,False,0.0193,0.0028,0.0138,0.0018,23.8422
FE_n_active_binary_meds,True,0.019,-0.0062,0.0102,-0.005,0.1071
FE_multi_channel_utilizer,True,0.0187,0.0051,0.0134,0.0046,0.7254
FE_total_active_meds,True,0.0177,-0.0006,0.01,-0.0005,0.9192
FE_n_med_decreases,True,0.0167,0.0051,0.0128,0.0041,0.3656
repaglinide,False,0.016,0.0019,0.0114,0.0014,0.1321
FE_diagnoses_per_day,True,0.014,-0.0002,0.0082,-0.0,2.2988
race,False,0.013,0.0022,0.0109,0.0016,0.7831
glipizide,False,0.013,0.0035,0.0081,0.0028,0.3847
payer_code,False,0.0127,0.0007,0.0098,0.0005,4.3673
glyburide,False,0.0117,-0.0002,0.0096,-0.0004,0.3482
FE_glycemic_risk_score,True,0.0113,0.0018,0.0077,0.0014,0.6182
admission_type_id,False,0.011,-0.001,0.0109,-0.0003,1.1701
FE_metformin_prescribed,True,0.0097,-0.0008,0.0081,-0.0006,0.4181
FE_high_util_x_med_change,True,0.009,0.0014,0.0079,0.0014,0.3321
pioglitazone,False,0.0083,0.001,0.0089,0.0008,0.3016
number_outpatient,False,0.008,-0.0002,0.0057,-0.0002,0.4361
FE_metformin_changed,True,0.008,0.0011,0.0065,0.0009,0.1274
glimepiride,False,0.0073,-0.0012,0.0086,-0.0009,0.2871
rosiglitazone,False,0.006,-0.0014,0.0055,-0.001,0.1919
gender,False,0.0057,0.0004,0.0061,0.0003,0.4996
FE_insulin_increased,True,0.0057,0.0019,0.0061,0.0016,0.3534
FE_n_med_increases,True,0.004,-0.0002,0.0035,-0.0001,0.3978
FE_insulin_changed,True,0.004,0.0023,0.0084,0.0021,0.4473
FE_no_procedures,True,0.0033,-0.0001,0.0036,-0.0,0.4979
FE_med_regimen_changed,True,0.0027,-0.0002,0.0029,-0.0002,0.5
FE_high_lab_load,True,0.002,0.0001,0.002,0.0,0.4535
FE_any_med_changed,True,0.0017,0.0011,0.0049,0.001,0.4604
FE_comorbidity_x_lab_load,True,0.0007,0.0002,0.0024,0.0001,0.4126
FE_on_diabetes_med,True,0.0007,0.0003,0.0023,0.0003,0.4066
number_diagnoses,False,0.0003,0.0007,0.0082,0.0006,1.6657
FE_insulin_prescribed,True,0.0003,0.0001,0.0022,0.0001,0.4916
FE_high_utilization,True,0.0,-0.0,0.0007,-0.0,0.4531
