feature,importance
FE_lab_to_procedure_ratio,682
FE_labs_per_day,571
FE_total_clinical_contacts,562
FE_meds_per_day,549
discharge_disposition_id,533
FE_diag_med_ratio,513
diag_1,352
FE_labs_per_day_x_comorbidity,330
diag_3,330
medical_specialty,308
num_medications,300
diag_2,298
age,292
FE_diagnoses_per_day,261
payer_code,191
admission_source_id,182
time_in_hospital,160
number_diagnoses,147
FE_total_active_meds,126
admission_type_id,121
FE_multi_channel_utilizer,76
number_outpatient,67
FE_glycemic_x_emergency,67
race,63
FE_glycemic_risk_score,62
FE_high_prior_utilization,55
FE_has_prior_inpatient,54
glipizide,48
gender,42
glyburide,42
FE_metformin_prescribed,37
FE_n_med_decreases,37
FE_insulin_prescribed,35
weight_missing,32
A1Cresult_missing,29
FE_insulin_changed,28
FE_no_procedures,24
FE_high_util_x_med_change,23
FE_n_med_increases,23
pioglitazone,22
FE_med_regimen_changed,20
FE_any_med_changed,16
FE_insulin_increased,15
rosiglitazone,15
FE_on_diabetes_med,14
glimepiride,13
max_glu_serum_missing,11
repaglinide,9
FE_n_active_binary_meds,6
FE_comorbidity_x_lab_load,6
FE_high_lab_load,6
FE_metformin_changed,4
FE_high_utilization,3
