feature,coefficient
number_diagnoses,0.30347519739801176
FE_multi_channel_utilizer,0.26843695187775185
FE_high_prior_utilization,0.1712089516897011
FE_diag_med_ratio,0.11211063328062008
FE_has_prior_inpatient,0.11184538136758149
max_glu_serum_missing,0.10608068664554224
FE_on_diabetes_med,0.1025198187286627
discharge_disposition_id,0.09467880392441957
FE_insulin_changed,0.09371516481763241
num_medications,0.09184015470413746
admission_type_id,0.08726724136557526
weight_missing,0.07675201189969591
FE_no_procedures,0.07539084105963448
FE_total_active_meds,0.07350881963097541
FE_insulin_prescribed,0.07342558471204191
FE_metformin_prescribed,0.06775166489079942
medical_specialty,0.06677375780325874
number_outpatient,0.06548703461537855
FE_high_lab_load,0.05984755876309264
FE_any_med_changed,0.0474582619906905
FE_n_med_decreases,0.044325360972217544
diag_1,0.04107732210684185
FE_total_clinical_contacts,0.03909766561245817
glyburide,0.036080230045616356
diag_2,0.03082168337566475
FE_diagnoses_per_day,0.03070843509631586
FE_high_utilization,0.02992464502371106
FE_lab_to_procedure_ratio,0.029380324011886776
admission_source_id,0.022657562415613137
payer_code,0.022581156124524576
gender,0.021417948545306136
FE_comorbidity_x_lab_load,0.02020379697251533
time_in_hospital,0.019366685357111207
FE_insulin_increased,0.01842000611834124
FE_labs_per_day_x_comorbidity,0.01804404248642012
A1Cresult_missing,0.01666006724540266
FE_high_util_x_med_change,0.016524662750609046
FE_med_regimen_changed,0.015489299708514315
rosiglitazone,0.015487959936537288
FE_meds_per_day,0.014207290652903567
FE_n_active_binary_meds,0.014204021073571436
repaglinide,0.013853585340095557
glimepiride,0.013385015823163517
age,0.009733274799714144
pioglitazone,0.009454098967020874
FE_labs_per_day,0.008154795138268537
diag_3,0.00814892479451512
race,0.00719331726047595
FE_metformin_changed,0.0049991935957182584
FE_glycemic_x_emergency,0.0049232179043416134
FE_glycemic_risk_score,0.004110178631745902
FE_n_med_increases,0.0036786916682182732
glipizide,0.0028461186185841088
