arm,rep,fold,n_features,auc,avg_precision
a_all_features,0,0,78,0.682769818781664,0.25062481393684255
b_stages_1_2_only,0,0,53,0.6796908844400769,0.2206024305555392
c_full_7_stage_shipped,0,0,53,0.6796908844400769,0.2206024305555392
d_target_aware_in_fold,0,0,53,0.6839623902547222,0.25194292462470513
a_all_features,0,1,78,0.6836691841771434,0.23300621031597393
b_stages_1_2_only,0,1,53,0.6773531806032155,0.2333997554515545
c_full_7_stage_shipped,0,1,53,0.6773531806032155,0.2333997554515545
d_target_aware_in_fold,0,1,53,0.6841303778709747,0.23281858586371112
a_all_features,0,2,78,0.6739568395977329,0.2198207140955855
b_stages_1_2_only,0,2,53,0.6714463076616168,0.21087950876025352
c_full_7_stage_shipped,0,2,53,0.6714463076616168,0.21087950876025352
d_target_aware_in_fold,0,2,53,0.6736736214605068,0.21932300201520713
a_all_features,0,3,78,0.692503914384309,0.2554331437997501
b_stages_1_2_only,0,3,53,0.6864811157032418,0.24519257104859454
c_full_7_stage_shipped,0,3,53,0.6864811157032418,0.24519257104859454
d_target_aware_in_fold,0,3,53,0.691854601967963,0.2553849470165118
a_all_features,0,4,78,0.6670398205382747,0.23219497360799052
b_stages_1_2_only,0,4,53,0.6635835393602609,0.20604791328701785
c_full_7_stage_shipped,0,4,53,0.6635835393602609,0.20604791328701785
d_target_aware_in_fold,0,4,53,0.6678215221739896,0.23389295459250675
a_all_features,1,0,78,0.673281833658695,0.23217956974088755
b_stages_1_2_only,1,0,53,0.6691857146424474,0.21616742563719726
c_full_7_stage_shipped,1,0,53,0.6691857146424474,0.21616742563719726
d_target_aware_in_fold,1,0,53,0.6743873286710411,0.23309456658262404
a_all_features,1,1,78,0.685540934899916,0.2393265653921107
b_stages_1_2_only,1,1,53,0.6756126876757854,0.21602398100547043
c_full_7_stage_shipped,1,1,53,0.6756126876757854,0.21602398100547043
d_target_aware_in_fold,1,1,53,0.6829433904654536,0.2336078238187505
a_all_features,1,2,78,0.6757232411010374,0.24237226146674898
b_stages_1_2_only,1,2,53,0.6702906822972526,0.22323708806090736
c_full_7_stage_shipped,1,2,53,0.6702906822972526,0.22323708806090736
d_target_aware_in_fold,1,2,53,0.6750904447754841,0.24187028427541238
a_all_features,1,3,78,0.6858953103240176,0.2409637573483871
b_stages_1_2_only,1,3,53,0.6781298366587063,0.22399085821331222
c_full_7_stage_shipped,1,3,53,0.6781298366587063,0.22399085821331222
d_target_aware_in_fold,1,3,53,0.682797733723564,0.2372533322344025
a_all_features,1,4,78,0.6856993952533927,0.23924878239723174
b_stages_1_2_only,1,4,53,0.6807206429086593,0.2245060963168356
c_full_7_stage_shipped,1,4,53,0.6807206429086593,0.2245060963168356
d_target_aware_in_fold,1,4,53,0.6840280207585112,0.24126918095032157
