feature,is_fe,flip_rate,proba_delta,proba_std,error_delta,feature_std
admission_source_id,False,0.3707,-0.1009,0.0845,-0.0188,3.195
discharge_disposition_id,False,0.2257,-0.0376,0.1443,0.0014,4.0676
FE_multi_channel_utilizer,True,0.1743,0.0554,0.0451,0.0193,0.7254
FE_has_prior_inpatient,True,0.109,0.0397,0.0429,0.0131,0.4256
age,False,0.1053,-0.0044,0.0511,0.005,1.5489
medical_specialty,False,0.1,-0.0192,0.0371,-0.0026,23.8422
FE_high_prior_utilization,True,0.0853,0.0288,0.0371,0.0087,0.4024
diag_1,False,0.0793,-0.0104,0.0347,-0.0001,5.0297
FE_lab_to_procedure_ratio,True,0.073,0.0178,0.0358,0.0068,21.1431
FE_total_clinical_contacts,True,0.0667,-0.0126,0.0335,-0.0013,23.0859
FE_labs_per_day_x_comorbidity,True,0.0647,0.011,0.0297,0.0051,11.1094
diag_2,False,0.057,-0.0116,0.0242,-0.0017,5.3764
FE_glycemic_x_emergency,True,0.053,0.0149,0.0207,0.0047,0.7779
admission_type_id,False,0.05,0.0136,0.0298,0.002,1.1701
FE_total_active_meds,True,0.047,0.0068,0.0262,0.0039,0.9192
num_medications,False,0.047,0.0073,0.0256,0.0038,8.1468
FE_no_procedures,True,0.046,0.0121,0.0248,0.0048,0.4979
payer_code,False,0.0447,-0.0003,0.0283,0.0006,4.3673
diag_3,False,0.0433,-0.0078,0.0249,-0.0007,5.3068
FE_diag_med_ratio,True,0.042,-0.0061,0.0244,0.0011,0.3235
number_diagnoses,False,0.0403,0.0123,0.0302,0.0057,1.6657
FE_labs_per_day,True,0.039,-0.0066,0.0208,-0.0014,12.1435
number_outpatient,False,0.036,0.0079,0.0223,0.0029,0.4361
repaglinide,False,0.0353,0.0083,0.0193,0.002,0.1321
FE_meds_per_day,True,0.0333,0.0055,0.0226,0.0011,4.176
FE_insulin_changed,True,0.0317,0.0097,0.021,0.0033,0.4473
race,False,0.0287,-0.0089,0.0159,-0.0018,0.7831
FE_metformin_prescribed,True,0.0283,-0.0096,0.0213,-0.0013,0.4181
rosiglitazone,False,0.026,0.0082,0.0175,0.0025,0.1919
pioglitazone,False,0.026,0.0088,0.017,0.0014,0.3016
FE_high_util_x_med_change,True,0.021,0.0038,0.0138,0.0015,0.3321
FE_n_active_binary_meds,True,0.02,0.0056,0.0157,0.0016,0.1071
time_in_hospital,False,0.019,0.0019,0.0137,0.0011,2.8274
FE_comorbidity_x_lab_load,True,0.0157,0.0048,0.0121,0.0016,0.4126
glyburide,False,0.0153,-0.0052,0.0135,-0.0009,0.3482
FE_diagnoses_per_day,True,0.0153,-0.0009,0.0138,0.0001,2.2988
FE_on_diabetes_med,True,0.0153,0.0036,0.0126,0.0017,0.4066
FE_metformin_changed,True,0.0123,-0.0024,0.0097,-0.0008,0.1274
FE_n_med_decreases,True,0.012,0.0028,0.0122,0.0009,0.3656
glimepiride,False,0.0117,0.0,0.0099,0.0003,0.2871
FE_glycemic_risk_score,True,0.0113,0.0008,0.0104,0.0005,0.6182
glipizide,False,0.0113,0.0017,0.0114,0.001,0.3847
gender,False,0.009,-0.0027,0.011,-0.0002,0.4996
FE_insulin_prescribed,True,0.0067,-0.0006,0.0083,0.0001,0.4916
FE_insulin_increased,True,0.0067,0.0012,0.0079,0.0003,0.3534
FE_any_med_changed,True,0.0063,-0.0006,0.0068,-0.0003,0.4604
FE_n_med_increases,True,0.0063,-0.0016,0.0093,-0.0004,0.3978
FE_med_regimen_changed,True,0.0023,0.0004,0.0048,0.0001,0.5
FE_high_utilization,True,0.002,-0.0005,0.0031,-0.0001,0.4531
FE_high_lab_load,True,0.0003,0.0002,0.0035,-0.0,0.4535
